"ExtensionProperty","DeletionTimestamp","ObjectId","ObjectType","AccountEnabled","AgeGroup","AssignedLicenses","AssignedPlans","City","CompanyName","ConsentProvidedForMinor","Country","CreationType","Department","DirSyncEnabled","DisplayName","FacsimileTelephoneNumber","GivenName","IsCompromised","ImmutableId","JobTitle","LastDirSyncTime","LegalAgeGroupClassification","Mail","MailNickName","Mobile","OnPremisesSecurityIdentifier","OtherMails","PasswordPolicies","PasswordProfile","PhysicalDeliveryOfficeName","PostalCode","PreferredLanguage","ProvisionedPlans","ProvisioningErrors","ProxyAddresses","RefreshTokensValidFromDateTime","ShowInAddressList","SignInNames","SipProxyAddress","State","StreetAddress","Surname","TelephoneNumber","UsageLocation","UserPrincipalName","UserState","UserStateChangedOn","UserType"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"ff144b2e-1dd3-4300-8fad-bee987b7f8fe","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"4tracypage@gmail.com",,,,,,,,"4tracypage@gmail.com","4tracypage_gmail.com#EXT#",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","7/26/2021 1:43:08 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"4tracypage_gmail.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-07-26T13:43:08Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"0d84fa84-ed86-49f8-8400-cee778100843","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Angela Bisig",,"Angela",,"6QYwrP2MlkSPN16455cmVA==",,,,"abisig@cbww.com","abisig",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","2/8/2021 3:27:41 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"Bisig",,"US","abisig@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"948751e5-39f2-4819-873f-7463475a221c","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Adam Brown",,"Adam",,"tiiOIrYqh0+8/VYe48yUeA==",,,,"abrown@cbww.com","abrown",,,"System.Collections.Generic.List`1[System.String]","DisablePasswordExpiration",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","3/2/2020 5:32:54 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","948751e539f24819873f7463475a221cabrown@cbww.com",,,"Brown",,"US","abrown@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"9c5fe112-d2ce-489d-bf8b-029358ebc5e2","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Accounting Copier",,,,,,,,"acctcopier@cbww.com","acctcopier",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","1/13/2021 9:45:14 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"acctcopier@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"2ced804f-16de-40fc-82f4-cc2b7c4bdb9e","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]","Knoxville",,,"US",,,,"CBWW 365 ADMIN",,"Admin",,,,,,"admin@cbww.com","admin","+1 8654144011",,"System.Collections.Generic.List`1[System.String]",,,,"37919","en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/5/2018 5:30:45 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]","2ced804f16de40fc82f4cc2b7c4bdb9eadmin@cbww.com","TN","140 Major Reynolds Place","CBWW","865-584-4000","US","admin@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"5e8d1721-0d7d-4719-ba5d-a9160fb0e1de","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Adobe ID",,,,,,,,"adobe@cbww.com","adobe",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","12/22/2015 1:23:19 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"adobe@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"f65a9056-2982-4978-8331-7fc2943dda3a","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,"Invitation",,,"adrian.varzaru@ymail.com",,,,,,,,"adrian.varzaru@ymail.com","adrian.varzaru_ymail.com#EXT#",,,"System.Collections.Generic.List`1[System.String]",,,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","7/26/2021 1:43:25 PM","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,,"adrian.varzaru_ymail.com#EXT#@ColdwellBank.onmicrosoft.com","PendingAcceptance","2021-07-26T13:43:25Z","Guest"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"76a556fe-ec20-41ea-afa2-692edfddda97","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 1",,"Agent",,,"Agent",,,,"agent1",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:37 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"1",,"US","agent1@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"f7a5aa91-9cab-4eb5-9d38-2f06af22a2ae","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,,,,,"Agent 10",,"Agent",,,,,,,"agent10",,,"System.Collections.Generic.List`1[System.String]","None",,,,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","1/11/2018 4:33:47 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,,,"US","agent10@cbww.com",,,"Member"
"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"f698f68a-1fdd-4f80-9267-22821ed8cc43","User","True",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedLicense]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AssignedPlan]",,,,"United States",,,,"Agent 2",,"Agent",,,"Agent",,,,"agent2",,,"System.Collections.Generic.List`1[System.String]","None",,,,"en-US","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisionedPlan]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","10/29/2015 3:37:38 PM",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.SignInName]",,,,"2",,"US","agent2@cbww.com",,,"Member"
